id,title,link,image_link,product_type,condition,availability,description,price,brand,mpn,shipping,google_product_category
SCTAS31PBM1,Service Café Turque Avec Support 31 Pièces Bronze Motif 1,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1Xk6lRjS9Q1jfVQ0DLbCXCzWt0HwnmHla,Hardware > Building Materials > Glass,new,in stock,"Composé de 6 tasses en porcelaine encastrées dans des sous-coupes en bronze, ce service de par sa beauté, saura apporter un peu plus de décoration à votre table. Assorti de 6 sous-tasses, de 6 sous-coupes, de 6 couvercles et d'un support, il vous permet de déguster de nombreuses boissons telles que du café ou du thé.","164,000",Cakado Brand,SCTAS31PBM1,,Home & Garden
WSACD24CRE7C,Winox Sauteuse Avec Couvercle DIAMOND 24 Cm Résistance Extrême 7 Couches,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1qpfZG9nyh_FbKm_1CHkkmdWiYyHoXwgk,Hardware > Building Materials > Glass,new,in stock,"Winox, Aluminium + téflon, Noir, 24 cm, 2  pièces, fabrication : Tunisie, Durable et résistante, 7 couches","39,000",Cakado Brand,WSACD24CRE7C,,Home & Garden
WPD30CDRE7C,Winox Poêle De 30 Cm Gamme DIAMOND Résistance Extrême 7 Couches,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1FGwZQVMmOSKDzatVHi1BznicEPRdYEPv,Hardware > Building Materials > Glass,new,in stock,"Winox, Aluminium + téflon, Noir, 30 cm, fabrication : Tunisie, Durable et résistante, 7 couches","34,000",Cakado Brand,WPD30CDRE7C,,Home & Garden
WC26CGDRE7C,Winox Crêpière De 26 Cm Gamme DIAMOND - Résistance Extrême - 7 Couches,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1q8k3U_UOAqCpRM_xtFeWkv0GYBCODSgD,Hardware > Building Materials > Glass,new,in stock,"Marque : Winox, Aluminium + téflon, Noir, Diamètre : 26 cm, fabrication : Tunisie, Durable et résistante, 7 couches","21,000",Cakado Brand,WC26CGDRE7C,,Home & Garden
WC26CSGSR7C,Winox Crêpière De 26 Cm Série GRANITE - Super Résistante - 7 Couches,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1hTmAZdcbRCTu1_RLe2PqNcRtTzhG_CPE,Hardware > Building Materials > Glass,new,in stock,"Winox, Aluminium + téflon, Noir, Diamètre : 26 cm, fabrication : Tunisie, Durable et résistante, 7 couches","19,900",Cakado Brand,WC26CSGSR7C,,Home & Garden
WC26VAA6C,Winox Crêpière Ø26 VOLCANO Anti-Adhésive - 6 Couches,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1aguvee-HWpYShWhbfdZjYo5Of46IQWpC,Hardware > Building Materials > Glass,new,in stock,"Winox, Téflon, Gris, Diamètre de poêle : 26 cm, fabrication : Tunisie, Durable et résistante, 6 couches","18,000",Cakado Brand,WC26VAA6C,,Home & Garden
WP30CG7CG,Winox Poêle Ø30 Cm Gamme GRANITE - 7 Couches - Gris,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1aBmC18Sidx2gv-6mw1GzgI8CxO5HESUm,Hardware > Building Materials > Glass,new,in stock,"Winox, Aluminium culinaire ET téflon, Couleur : Gris, Diamètre : 30 cm, fabrication : Tunisie, Durable et super résistante, 7 couches","32,000",Cakado Brand,WP30CG7CG,,Home & Garden
WP26CSGSR7CG,Winox Poêlé Ø26 Cm Série GRANITE Super Résistante - 7 Couches - Gris,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1AvBJBm-HcfAmT0aNrXaJg0N2dq4MiCX5,Hardware > Building Materials > Glass,new,in stock,"Winox, Aluminium culinaire ET téflon , Couleur : Gris, Diamètre : 26 cm, fabrication : Tunisie, Durable et super résistante, 7 couches","27,000",Cakado Brand,WP26CSGSR7CG,,Home & Garden
WP20SGSR7CG,Winox Poêle Ø20 Cm Série GRANITE Super Résistante - 7 Couches - Gris,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1fvrb4vPIFB2mSUXiEIvdInoKCC2eXr7N,Hardware > Building Materials > Glass,new,in stock,"Winox, Aluminium culinaire ET téflon , Couleur : Gris, Diamètre : 20 cm , fabrication : Tunisie, Durable et super résistante, 7 couches","20,900",Cakado Brand,WP20SGSR7CG,,Home & Garden
WSAC18SV6CG,Winox Sauteuse Avec Couvercle Ø18 Série VOLCANO - 6 Couches - Gris,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1BzLEk7xj1FCbjkzsUBZzY89EmNFKNO86,Hardware > Building Materials > Glass,new,in stock,"Winox, Aluminium culinaire ET téflon, Couleur : Gris, Diamètre  : 18 cm, Nombre de pièces : 2, fabrication : Tunisie, Durable et résistante, 6 couches
","24,900",Cakado Brand,WSAC18SV6CG,,Home & Garden
WP20V6CG,Winox Poêle Ø20 VOLCANO - 6 Couches - Gris,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1nzx6KJV02uFwXD6QBg41nuh2U-lcUqn1,Hardware > Building Materials > Glass,new,in stock,"Winox, Téflon ET acier inoxydable, Couleur : Gris, Diamètre de poêle : 20 cm, fabrication : Tunisie, Durable et résistante, 6 couches","13,900",Cakado Brand,WP20V6CG,,Home & Garden
TSC24CAA5C,Tem Sauteuse CIELO -24 Cm - Anti-Adhésive - 5 Couches,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1CbCDaLZa5OBFbEnfMagHmp5kT7r8rFok,Hardware > Building Materials > Glass,new,in stock,"Tem, Acier inoxydable, Couleur : Gris, Diamètre : 24 cm , fabrication : Italie, 5 couches anti-adhésives, Certifié pour éco labe","34,500",Cakado Brand,TSC24CAA5C,,Home & Garden
TCC16AA5C,Tem Casserole CIELO De 16 Cm - Anti-Adhésive - 5 Couches,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1fb9lagAQgzLwxLkiQdcjocMhW-XieMXH,Hardware > Building Materials > Glass,new,in stock,"Marque : Tem, Aluminium culinaire, Gris, fabrication : Italie, Diamètre : 16 cm, 5 couches anti-adhésives, Certifié pour éco label","15,500",Cakado Brand,TCC16AA5C,,Home & Garden
PGEA28CO,Poêle Grill En Aluminium 28 Cm OLINA,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=15EhjYtfNe6vC7i90W66R6adnc8-RgWLP,Hardware > Building Materials > Glass,new,in stock,"OLINA, Aluminium, Diamètre : 28 cm, Hauteur: 4.5cm, Poignées en: Bakelite, Couleur : Beige, fabrication: Chine","38,000",Cakado Brand,PGEA28CO,,Home & Garden
CD6VATS,"Coffret De 6 Verres À Thé Sylvana
",https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1VE_L58v3iQxlELVWdpmfPAweA1IPMKdN,Hardware > Building Materials > Glass,new,in stock,"pasabahce, Capacité: 11 ml,Idéal avec toutes les ambiances de table, Résiste a la chaleur de votre thé, Verre de qualité",6,Cakado Brand,CD6VATS,,Home & Garden
CD6VL25CL,"Coffret De 6 Verres Luna - 25 Cl
",https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1ZMFc81BOWFA1PXpNg9oQOfQRCP3_J3QY,Hardware > Building Materials > Glass,new,in stock,"Coffret de 6 Verres Luna pasabahce, Capacité des Verres: 25 CL, Idéal pour toutes les ambiances de table, Verre de Qualité, Haute résistance contre les rayures et autres dommage Transparent, Design simple",11.8,Cakado Brand,CD6VL25CL,,Home & Garden
CAP,"Corbeille À Pain
",https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1lqkKGnRRl0B2EyOJaCGPxLx3GARYvn6z,Hardware > Building Materials > Glass,new,in stock,"GS Accessoire, Corbeille à pain Fabrication artisanale et Ecofriendly, Dimensions: hauteur 11 cm",3.5,Cakado Brand,CAP,,Home & Garden
CAFS,"Coupe À Fruits Stella
",https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1MUFisYjp3EywNcxjS8E1SurYRWNhp40a,Hardware > Building Materials > Glass,new,in stock,pasabahce,41,Cakado Brand,CAFS,,Home & Garden
PM06BLPS,Pack Multiple 06 Bocaux Le Parfait Super ,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1B6l396-H7hfIKYwG20mod_SOgiM-yfLd,Hardware > Building Materials > Glass,new,in stock,"LE PARFAIT, Bocal Le Parfait Super 0,25L  Ø 70, Une Rondelle Offerte Avec Chaque Bocal, Les rondelles orange Le Parfait Super sont en caoutchouc 100% naturel, Elles présentent l’avantage de convenir parfaitement pour des préparations à base de fruits, légumes, viandes, poissons et plats cuisinés, Elle permettent une étanchéité parfaite pour une conservation longue durée.",50.5,Cakado Brand,PM06BLPS,,Home & Garden
PM03BLPS,"Pack Multiple 03 Bocaux Le Parfait Super
",https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1T_0zI2xPRyMbX9UnW3U4Ej22bZHiKGJY,Hardware > Building Materials > Glass,new,in stock,"Le Parfait, Bocal Le Parfait Super  0,5L  Ø 85, Une Rondelle Offerte Avec Chaque Bocal, Les rondelles orange Le Parfait Super sont en caoutchouc 100% naturel. Elles présentent l’avantage de convenir parfaitement pour des préparations à base de fruits, légumes, viandes, poissons et plats cuisinés. Elle permettent une étanchéité parfaite pour une conservation longue durée",27,Cakado Brand,PM03BLPS,,Home & Garden
BBDCBKS19,"Berry Balance De Cuisine Berry  - KS19
",https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1Es7By2V9Dat-pw0MZnICiGmL9bCuudj_,Hardware > Building Materials > Glass,new,in stock,"beurer, Balance de Cuisine Electrique BEURER Ecran LCD avec Touches Tactiles Graduation: 1g, Capacité de charge: 5 Kg fonction de pesée avec tare pratique, Ultra plate : seulement 16.5 mm de hauteur témoin de liquide, Taille des chiffres : 20 mm, Affichage en cas de surcharge Sélecteur g, oz, lb:oz, ml, fl.oz, Arrêt automatique Batterie: 1 pile CR 2032 de 3 V fournie, Dimensions: 20 x 14,5 x 1,65 cm",80,Cakado Brand,BBDCBKS19,,Home & Garden
ICBDCICKS19,"Ice Cream Balance De Cuisine Ice Cream  - KS19
",https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=13lmucC2dImArC2rPy1u7r8h9Ajzz7PL7,Hardware > Building Materials > Glass,new,in stock,"beurer, Ecran: LCD avec Touches Tactiles, type: Electrique, Poids Max:5 Kg, Graduation: 1g, Ultra plate: seulement 16.5 mm de hauteur",80,Cakado Brand,ICBDCICKS19,,Home & Garden
LD3BAEVAC,Lot De 3 Bols Alimentaires En Verre Avec Couvercle,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=10RIAvRVwAjRaBcCeLcV1aa2HPLHEtbjA,Hardware > Building Materials > Glass,new,in stock,"Duralex, Verre trempé résistant aux chocs, Résistant aux chocs thermiques, Résistant aux lavages en lave-vaisselle, Adapté à l‘utilisation au micro-ondes, Adapté à l‘utilisation au congélateur, Verre hygiénique non poreux, Verre sûr non coupant, 100% Fabriqué en France",16.4,Cakado Brand,LD3BAEVAC,,Home & Garden
ld4ba,"Lot De 4 Bols Alimentaires
",https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1qXg_jHlRIdhO1ln0FpiQ9OUmskT1dJQ2,Hardware > Building Materials > Glass,new,in stock,"Duralex, Verre trempé résistant aux chocs, Résistant aux chocs thermiques, Résistant aux lavages en lave-vaisselle, Adapté à l‘utilisation au micro-ondes, Adapté à l‘utilisation au congélateurn, Verre hygiénique non poreux, Verre sûr non coupant, 100% Fabriqué en France",24,Cakado Brand,ld4ba,,Home & Garden
LD4VACA7CL,Lot de 4 verres à café amalfi 7 cl,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1QRWvMp3orYDpqUKXk77ePw0vNJ43ADGO,Hardware > Building Materials > Glass,new,in stock,"Duralex, Dimensions:‎16 x 9 x 8 cm; 340 grammes",3.9,Cakado Brand,LD4VACA7CL,,Home & Garden
LD6VAJPA,Lot de 6 verres a jus pub abe,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=19q930slm46V7CTkMMcsxwdWONczOmRBJ,Hardware > Building Materials > Glass,new,in stock,pasabahce,11.8,Cakado Brand,LD6VAJPA,,Home & Garden
LD6VEVBRM43CL,lot de 6 verres en verre bormiol -rocco moyen 43 cl,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=18_qAJHSdLWiiiAvqjhn1-LGKV_pqyIpB,Hardware > Building Materials > Glass,new,in stock,"Lot de 6 Verres à vin - Bormioli Rocco Inalto Uno - 430 m, Verres à vin Inalto Uno par Bormioli Rocco, Dimensions : Verre taille M : 22 cm x 8.5 cm, Fabriqués en « star glass » : un verre très transparent et 100 % recyclable, Contenance : Verre taille M: 430 ml, Peuvent être mis au lave-vaisselle",59,Cakado Brand,LD6VEVBRM43CL,,Home & Garden
LD6VO205CL,Lot de 6 verres ola 205cl,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1hcw_6BjJTTuSla3cw5nN--KduxbLJ_R6,Hardware > Building Materials > Glass,new,in stock,pasabahce,5,Cakado Brand,LD6VO205CL,,Home & Garden
LD12VRAVBBR425CL,Lot de 12 verres restaurant a vin blanc bormioli rocco 425-cl,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1l5P2eNdbnSMqHFn4YeC5Xp9rZhGpvDrM,Hardware > Building Materials > Glass,new,in stock,"Bormioli , Fabriqués en « Star_Glass » : un verre très transparent et 100 % recyclable, Contenance : Verre 425 ml  15 oz, Dimensions: 8.89 x 8.89 x 21.59 cm, Peuvent être mis au lave-vaisselle",80,Cakado Brand,LD12VRAVBBR425CL,,Home & Garden
LD12VRAVRBR525CL,Lot de 12 verres restaurant a vin rouge bormioli rocco 525 cl,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1VlSIcrhYyINnad1wjhUrBX58ioSdOefa,Hardware > Building Materials > Glass,new,in stock,"Bormioli, Fabriqués en « Star_Glass » : un verre très transparent et 100 % recyclable, Contenance : Verre  52 cl - 17 1/2 oz, Dimensions: h 225 mm - 8 3/4""  Ø 93 mm - 3 3/4"", Peuvent être mis au lave-vaisselle ",84,Cakado Brand,LD12VRAVRBR525CL,,Home & Garden
167221GRC021990-cons,Set 6 Verres Bormioli Rocco Barolo ii 48 Cl,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1fSJ8Qx7NRUvMHVNS9rpc5K_-Os-5gofX,Hardware > Building Materials > Glass,new,in stock,"Lot de 6 Verres à Vin -Bormioli Rocco Barolo II - 480 ml, Fabriqués En « Star Glass » : Un Verre Très Transparent Et 100 % Recyclable Contenance : Verre  480 ml - 16 1/4 oz, Dimensions: h 15 mm - 7 3/4""  Ø 99 mm - 4"", Peuvent être Mis Au Lave-Vaisselle
Fabriqués en « star glass » : un verre très transparent et 100 % recyclable
Contenance : Verre  480 ml - 16 1/4 oz
Dimensions: h 195 mm - 7 3/4""  Ø 99 mm - 4""
Peuvent être mis au lave-vaisselle",48,Bormioli,167221GRC021990 - cons,,Home & Garden
126271GRC021990-cons,Set 6 Verres Bormioli Rocco Nebbiolo-ii 37 Cl,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=11etEkt3etijR3c34eWl3yDgnBPyXTI_w,Hardware > Building Materials > Glass,new,in stock,"Lot de  6  Verres à Vin -Bormioli Rocco Nebbiolo - 490 ml, Fabriqués En « Star_Glass » : Un verre Très Transparent Et 100 % Recyclable, Contenance : Verre  49 cl - 16 1/2 oz, Dimensions:  h 212 mm - 8 1/4""  Ø 67 mm - 2 3/4"", Peuvent être Mis Au Lave-Vaisselle",52.8,Bormioli,126271GRC021990-cons,,Home & Garden
BBMCR500R,Baya Broyeur - Multifonction - Chopper Rapide - 500 ml - Rose,https://www.facebook.com/cakadoo,https://tn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/96/5082/1.jpg?2661,Home & Garden > Kitchen & Dining >,NEW,IN STOCK,"Le hachoir est parfait pour trancher et mélanger des salades de légumes/fruits, couper divers aliments pour bébé, hacher des noix, des herbes, des légumes, de la viande etc..
Fonctionnant sans électricité, ce hachoir à main est idéal pour les petites cuisines, les véhicules de camping, les voyages, les pique-niques et le camping.",18,EOTIA ,BBMCR500R,,Home & Garden
HBAME7VB200G,"Hommer Batteur à main  électrique  7 vitesse  Blanc  200W Garantie 1an
",https://www.facebook.com/cakadoo,https://tn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/38/8363/2.jpg?9346,Home & Garden > Kitchen & Dining >,NEW,IN STOCK,"Mélangeur de main 200 W de la vitesse 7 de Cyber ​​avec 2 replis supplémentaires Batteurs en fer chromé ou crochets à pétrir Facile à nettoyer Bouton d'éjection pour un batteur facile à enlever et à nettoyer.

Puissance: 200 W
Matière des lames: Acier inoxydable",30,Cakado Brand,HBAME7VB200G,,Home & Garden
FEMBMACP,"Fouet Electrique  Mini Barboteur  Mousseur à Café Portable  Marron
",https://www.facebook.com/cakadoo,https://tn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/28/3013/1.jpg?8810,Home & Garden > Kitchen & Dining >,NEW,IN STOCK,"Couleur  Marron
Taille  20,5 * 3,5 * 2,5 cm 
Conseils d'utilisation:
1. Dès que la mousse de lait commence à se former, soulevez légèrement l'appareil pour qu'il soit toujours dans la couche de mousse.
2. Si vous souhaitez faire de la mousse de lait chaud, la température du lait ne doit pas dépasser 60 ℃/140 ℉, sinon le lait ne moussera pas parfaitement.
Matériel: acier inoxydable et plastique ABS
Alimentation: 2 * piles AA (non incluses)
Taille: 20,5 * 3,5 * 2,5 cm",20,Cakado Brand,FEMBMACP,,Home & Garden
HEA1EAPZGNGA,"Home Electronics Appareil 3 en 1 Panini–Zouza–Gaufre - Noir-Garantie 1 An
",https://www.facebook.com/cakadoo,https://tn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/86/0552/1.jpg?8926,Home & Garden > Kitchen & Dining >,NEW,IN STOCK,"PRINCIPALES CARACTÉRISTIQUES
Voltage : 220-240 v
Puissance : 800 W
3 plaques chauffantes échangeables
Garantie 1 An
Dimensions du plaque : 21.6 * 12 cm 
Contrôle automatique de la température ",80,Cakado Brand,HEA1EAPZGNGA,,Home & Garden
NDPMHMA3LI,"Nicer Dicer Plus Mini Hachoir Manuel A 3 Lames Inox Avec Corde
",https://www.facebook.com/cakadoo,https://tn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/04/098/1.jpg?6796,Home & Garden > Kitchen & Dining >,NEW,IN STOCK,"Mini Hachoir Manuel 
A 3 Lames Inox 
Pour Fruits & Légumes Ail Persil 
Avec Corde
Nettoyage facile
Capacité: 300ML
Poids:0.23kg",15,Cakado Brand,NDPMHMA3LI,,Home & Garden
MSPV380,"Mixeur Smoothie Portable Vert 380 ML
",https://www.facebook.com/cakadoo,https://tn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/24/5733/1.jpg?8307,Home & Garden > Kitchen & Dining >,NEW,IN STOCK,"Mélangeur à smoothie USB rechargeable

✔ Mélangeur personnel ; Volume : 380mL
✔ Corps durable
✔ Lame d'agitation en acier inoxydable
✔ Simple à utiliser, une seule touche
✔ Portable et pratique. Vous pouvez mélanger et boire dans la même bouteille.
✔ Permet de savourer vos smoothies aux fruits à tout moment et en tout lieu !
✔ Vous pouvez recharger avec votre ordinateur portable, votre power Bank et avec d'autres sources d'énergie grâce au connecteur USB
",40,Cakado Brand,MSPV380,,Home & Garden
SBAME7VH,"Scarlett Batteur à main électrique 7 vitesse HE133
",https://www.facebook.com/cakadoo,https://tn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/60/0863/1.jpg?5731,Home & Garden > Kitchen & Dining >,NEW,IN STOCK,"PRINCIPALES CARACTÉRISTIQUES
Mélangeur de main 260 W
 vitesse 7 de Cyber
 ​​avec 2 replis supplémentaires
Batteurs en fer chromé ou crochets à pétrir 
Facile à nettoyer Bouton d'éjection pour un batteur facile à enlever et à nettoyer",40,Cakado Brand,SBAME7VH,,Home & Garden
B2S1.5AME,"Blender 2 speed-1.5L  avec Moulin èpices
",https://www.facebook.com/cakadoo,https://tn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/06/2452/1.jpg?2508,Home & Garden > Kitchen & Dining >,NEW,IN STOCK,"Mixeur 2 en 1 galaxy naturel: Mixer tout type de fruits
Broyer les épices et les grains cafés …
4 Vitesse avec fonction pulse
Capacitéé : 1.5 L
Puissance : 400 W
Pot et boitier en plastique alimentaire gradué
4 Lame en acier inoxydable pour le mixeur
2 Lame en acier inoxydable pour le petit broyeur à épice
Garantie : 1 an",80,Cakado Brand,B2S1.5AME,,Home & Garden
HVMAVTR,"Hachoir verticale manuel avec couvercle et un tiroir Rouge
",https://www.facebook.com/cakadoo,https://tn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/45/2153/1.jpg?0541,Home & Garden > Kitchen & Dining >,NEW,IN STOCK,"PRINCIPALES CARACTÉRISTIQUES
Conception simple
Facile à nettoyer
Convivial
un grand tiroir
un couvercle transparent
Lame et accessoire en acier inoxydable ",17,Cakado Brand,HVMAVTR,,Home & Garden
RRE800G1,"Royal Résistance Électrique 800 W Garantie 1 an
",https://www.facebook.com/cakadoo,https://tn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/09/8682/1.jpg?0347,Home & Garden > Kitchen & Dining >,NEW,IN STOCK,"Tension d'alimentation :  220-230v 
Puissance : 800 W 
Protection contre le surchauffe 
Longueur du câble : 1 m
Model : Royal",25,Cakado Brand,RRE800G1,,Home & Garden
HAVTLEDF,"Hachoir À Viande Trancheur Légumes Et De Fromage
",https://www.facebook.com/cakadoo,https://tn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/80/7831/1.jpg?1407,Home & Garden > Kitchen & Dining >,NEW,IN STOCK,"Hachoir À viande
Matériel: de Haute Qualité en plastique et lame en acier inoxydable
Hachoir À viande Saucisse
Cuisson Condiments (ail cassé, cassé gingembre, cassé poivre, etc.)
Enfants de Machine de Nourriture (arachides cassées, pommes de terre en purée, etc.)",30,Cakado Brand,HAVTLEDF,,Home & Garden
